station,lat,lon,dep_count,arr_count,activity_type
Neue Donau U,48.246414,16.395676,105.0,79.0,more_departures
Niederhofstraße U,48.180233,16.330812,64.0,62.0,more_departures
Niederpointenstraße,48.20326,16.275366,3.0,7.0,more_arrivals
Nietzscheplatz,48.220453,16.306123,16.0,12.0,more_departures
Nordbahnstrasse,48.227231,16.388737,17.0,15.0,more_departures
Nussbaumallee,48.181554,16.42316,17.0,6.0,more_departures
Nussdorf S,48.259495,16.367553,28.0,32.0,more_arrivals
Nussdorfer Straße U,48.231717,16.353124,41.0,40.0,more_departures
Ober St. Veit U,48.192296,16.274813,34.0,23.0,more_departures
Oberdöbling S,48.244386,16.344711,25.0,20.0,more_departures
Obere Augartenstraße,48.223,16.374752,103.0,105.0,more_arrivals
Oper,48.202683,16.369702,308.0,336.0,more_arrivals
Ottakring S U,48.211841,16.311806,97.0,70.0,more_departures
Otto-Probst-Platz,48.154212,16.348729,20.0,23.0,more_arrivals
Palffygasse,48.217217,16.337131,60.0,90.0,more_arrivals
Parhamerplatz,48.216137,16.328093,67.0,76.0,more_arrivals
Perfektastraße U,48.136491,16.313367,8.0,4.0,more_departures
Petrusgasse,48.192988,16.398459,124.0,117.0,more_departures
Pilgramgasse U,48.192945,16.354936,125.0,124.0,more_departures
Plunkergasse,48.199892,16.327151,79.0,82.0,more_arrivals
Praterstern Ausstellungsstraße,48.21785,16.395483,240.0,260.0,more_arrivals
Praterstern S U,48.218454,16.390281,378.0,359.0,more_departures
Purkytgasse ,48.15011,16.33364,6.0,4.0,more_departures
Radetzkyplatz,48.210682,16.390221,164.0,163.0,more_departures
Rathaus U,48.211441,16.356586,69.0,62.0,more_departures
Rathausplatz / Burgtheater,48.209923,16.360245,76.0,66.0,more_departures
Raxstraße,48.163234,16.366437,14.0,12.0,more_departures
Reinprechtsdorfer Brücke,48.189633,16.351143,113.0,129.0,more_arrivals
Rennbahnweg U,48.257535,16.44959,31.0,33.0,more_arrivals
Rennweg S,48.194261,16.386578,144.0,148.0,more_arrivals
Reumannplatz U,48.172937,16.378663,76.0,72.0,more_departures
Richard-Wagner-Platz,48.210054,16.328049,69.0,75.0,more_arrivals
Rochusmarkt,48.203416,16.389789,75.0,84.0,more_arrivals
Rosensteingasse,48.21955,16.326586,57.0,52.0,more_departures
Rosensteingasse / Blumengasse,48.222824,16.328474,49.0,37.0,more_departures
Rossauer Lände U,48.222729,16.367425,101.0,105.0,more_arrivals
