station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
Hernals S,48.22321,16.315256,16.0,25.0,25.0,13.0,11.0,6.0,15.0,24.0,more_departures,more_departures,more_departures,more_arrivals
Herrengasse U,48.209724,16.366685,10.0,78.0,87.0,43.0,67.0,62.0,61.0,26.0,more_arrivals,more_departures,more_departures,more_departures
Hetzendorf S,48.167527,16.316119,1.0,2.0,6.0,5.0,1.0,0.0,1.0,17.0,equal,more_departures,more_departures,more_arrivals
Heumühlgasse,48.195304,16.363308,93.0,35.0,40.0,32.0,21.0,63.0,67.0,46.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Hietzing U,48.187845,16.302445,5.0,22.0,13.0,8.0,6.0,15.0,20.0,14.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Hirschstetten S,48.232992,16.470367,3.0,0.0,4.0,13.0,1.0,1.0,3.0,11.0,more_departures,more_arrivals,more_departures,more_departures
Hoher Markt,48.210666,16.372983,9.0,25.0,46.0,78.0,22.0,40.0,45.0,25.0,more_arrivals,more_arrivals,more_departures,more_departures
Hopfengasse,48.269651,16.392036,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,equal,more_arrivals,more_arrivals,more_departures
Hütteldorf  S U,48.198076,16.261813,5.0,12.0,0.0,3.0,2.0,4.0,12.0,0.0,more_departures,more_departures,more_arrivals,more_departures
Jedlesee / Bellgasse,48.262127,16.387658,11.0,6.0,6.0,14.0,1.0,6.0,22.0,10.0,more_departures,equal,more_arrivals,more_departures
Jedleseer Friedhof,48.270076,16.384403,11.0,4.0,2.0,7.0,0.0,1.0,16.0,3.0,more_departures,more_departures,more_arrivals,more_departures
Joachimsthaler Platz,48.208885,16.303775,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,equal,more_departures,more_departures,more_departures
Johann-Nepomuk-Vogl-Platz,48.223756,16.337543,12.0,9.0,15.0,4.0,1.0,10.0,13.0,16.0,more_departures,more_arrivals,more_departures,more_arrivals
Johannesgasse / Stadtpark,48.203384,16.376708,47.0,29.0,64.0,39.0,20.0,54.0,87.0,21.0,more_departures,more_arrivals,more_arrivals,more_departures
Johnstrasse U,48.19834,16.318975,16.0,21.0,38.0,28.0,22.0,24.0,11.0,32.0,more_arrivals,more_arrivals,more_departures,more_arrivals
Josef-Baumann-Gasse,48.25227,16.430805,8.0,8.0,6.0,4.0,1.0,4.0,18.0,9.0,more_departures,more_departures,more_arrivals,more_arrivals
Josefstädter Straße U,48.212106,16.33912,24.0,49.0,44.0,38.0,1.0,47.0,23.0,85.0,more_departures,more_departures,more_departures,more_arrivals
Julius-Raab-Platz,48.211544,16.382374,35.0,35.0,95.0,49.0,38.0,45.0,79.0,36.0,more_arrivals,more_arrivals,more_departures,more_departures
Jägerstraße U,48.235062,16.369919,24.0,38.0,23.0,21.0,14.0,20.0,28.0,45.0,more_departures,more_departures,more_arrivals,more_arrivals
Kagran U,48.243746,16.433508,15.0,19.0,41.0,32.0,10.0,16.0,37.0,24.0,more_departures,more_departures,more_departures,more_departures
Kagraner Anger,48.239166,16.448733,8.0,6.0,7.0,5.0,1.0,2.0,7.0,12.0,more_departures,more_departures,equal,more_arrivals
Kagraner Platz U,48.251071,16.443794,14.0,25.0,51.0,16.0,17.0,18.0,34.0,35.0,more_arrivals,more_departures,more_departures,more_arrivals
Kantnergasse,48.277738,16.410474,0.0,2.0,0.0,0.0,0.0,2.0,7.0,5.0,equal,equal,more_arrivals,more_arrivals
Kardinal-Nagl-Platz U,48.197069,16.400874,54.0,89.0,50.0,21.0,10.0,28.0,90.0,79.0,more_departures,more_departures,more_arrivals,more_arrivals
Karlsplatz U / TU Wien,48.199877,16.368227,23.0,102.0,148.0,81.0,83.0,133.0,101.0,43.0,more_arrivals,more_arrivals,more_departures,more_departures
Karmeliterplatz,48.215683,16.379649,14.0,45.0,27.0,26.0,21.0,28.0,48.0,24.0,more_arrivals,more_departures,more_arrivals,more_departures
Kendlerstraße U,48.205571,16.30959,7.0,17.0,28.0,23.0,3.0,20.0,16.0,20.0,more_departures,more_arrivals,more_departures,more_departures
Keplerplatz U,48.179192,16.375793,12.0,23.0,34.0,26.0,21.0,10.0,42.0,37.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Krieau U,48.214384,16.414663,4.0,12.0,60.0,21.0,17.0,11.0,23.0,14.0,more_arrivals,more_departures,more_departures,more_departures
Kundratstraße,48.176146,16.355224,9.0,8.0,5.0,5.0,4.0,3.0,9.0,9.0,more_departures,more_departures,more_arrivals,more_arrivals
Kutschkergasse,48.225707,16.344196,10.0,10.0,12.0,4.0,3.0,5.0,14.0,6.0,more_departures,more_departures,more_arrivals,more_arrivals
Kärntner Ring,48.202161,16.3713,3.0,15.0,16.0,79.0,7.0,43.0,30.0,23.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Landstraße - Wien Mitte S U,48.205847,16.385246,37.0,50.0,113.0,71.0,51.0,80.0,93.0,59.0,more_arrivals,more_arrivals,more_departures,more_departures
Laudongasse / Schönbornpark,48.21339,16.350695,9.0,13.0,12.0,7.0,8.0,14.0,15.0,6.0,more_departures,more_arrivals,more_arrivals,more_departures
