station,degree_centrality,lat,lon,trips_started,trips_ended,trips
Praterstern S U,0.8616600790513833,48.218454,16.390281,378,359,737
Rochusmarkt,0.32806324110671936,48.203416,16.389789,75,84,159
Rosensteingasse,0.2292490118577075,48.21955,16.326586,57,52,109
Schönbrunn U,0.2885375494071146,48.185845,16.319898,75,90,165
Sensengasse,0.3043478260869565,48.220335,16.35638,71,73,144
Spittelau S U,0.4861660079051383,48.235289,16.35875,147,147,294
Stadion U,0.3992094861660079,48.210893,16.420795,128,120,248
Vorgartenstraße U,0.616600790513834,48.223192,16.399795,226,200,426
Waldmüllerpark,0.15019762845849802,48.18136,16.367618,23,26,49
Wallensteinplatz,0.4980237154150197,48.229911,16.371579,179,180,359
Westbahnhof S U / Felberstraße,0.3557312252964427,48.197958,16.3377,91,122,213
Auf der Schmelz,0.2964426877470355,48.203673,16.316414,79,62,141
Gymnasiumstraße,0.2727272727272727,48.236591,16.348719,67,66,133
Karmeliterplatz,0.44664031620553357,48.215683,16.379649,112,121,233
Längenfeldgasse U,0.33992094861660077,48.18424,16.333886,68,88,156
Modecenterstraße / The Marks,0.32806324110671936,48.184348,16.413837,104,91,195
Rossauer Lände U,0.43478260869565216,48.222729,16.367425,101,105,206
Schottenring U,0.4743083003952569,48.215972,16.372194,105,132,237
Währinger Straße U,0.3557312252964427,48.225482,16.349795,93,88,181
Friedrich-Engels-Platz,0.2569169960474308,48.244111,16.379304,75,96,171
Jägerstraße U,0.3162055335968379,48.235062,16.369919,106,107,213
Krieau U,0.2924901185770751,48.214384,16.414663,97,65,162
Neue Donau U,0.19367588932806323,48.246414,16.395676,105,79,184
Praterstern Ausstellungsstraße,0.6126482213438734,48.21785,16.395483,240,260,500
Rustengasse,0.24110671936758893,48.190832,16.326461,48,53,101
Schüttauplatz,0.2608695652173913,48.225856,16.423761,114,113,227
Alterlaa U,0.07905138339920947,48.150204,16.317214,14,23,37
Erlaaer Straße U,0.023715415019762844,48.142919,16.316576,5,5,10
Hietzing U,0.24110671936758893,48.187845,16.302445,48,55,103
Liesing S,0.035573122529644265,48.134253,16.283428,10,6,16
Purkytgasse ,0.02766798418972332,48.15011,16.33364,6,4,10
Raxstraße,0.07509881422924901,48.163234,16.366437,14,12,26
Am Schöpfwerk U,0.07905138339920947,48.160951,16.324922,20,20,40
Carl-Appel-Straße,0.15810276679841895,48.169012,16.343611,51,44,95
Niederhofstraße U,0.2964426877470355,48.180233,16.330812,64,62,126
Weißenböckstraße,0.05138339920948616,48.162067,16.42849,12,13,25
Westbahnhof S U,0.592885375494071,48.19681,16.338577,203,186,389
Althanstraße,0.13043478260869565,48.228936,16.3596,22,27,49
Kantnergasse,0.02766798418972332,48.277738,16.410474,2,14,16
Obere Augartenstraße,0.34782608695652173,48.223,16.374752,103,105,208
Am Langen Felde,0.07509881422924901,48.250336,16.450206,24,22,46
Leopoldau S U,0.05928853754940711,48.276824,16.45017,16,8,24
Messe-Prater U,0.5375494071146245,48.217295,16.406163,208,203,411
Vetmed UB,0.06324110671936758,48.253112,16.430644,10,21,31
eLastenräder - Am langen Felde,0.015810276679841896,48.250224,16.45065,2,3,5
