,station,degree_centrality,lat,lon,trips_started,trips_ended,trips,connections_total,connections_out,connections_in
115,Friedensbrücke U,0.4940711462450592,48.226825,16.365311,137,153,290,125,54,71
116,Gersthof S,0.217391304347826,48.231029,16.329505,51,52,103,55,28,27
117,Gumpendorfer Gürtel,0.2964426877470355,48.18934,16.338321,69,78,147,75,35,40
118,Hernals S,0.2411067193675889,48.22321,16.315256,79,56,135,61,39,22
119,Johann-Nepomuk-Vogl-Platz,0.2015810276679841,48.223756,16.337543,40,40,80,51,29,22
120,Josefstädter Straße U,0.4664031620553359,48.212106,16.33912,155,156,311,118,69,49
121,Kutschkergasse,0.1818181818181818,48.225707,16.344196,36,28,64,46,26,20
122,Kärntner Ring,0.375494071146245,48.202161,16.3713,113,103,216,95,42,53
123,Michelbeuern-AKH U,0.2687747035573122,48.221804,16.343735,84,85,169,68,42,26
124,Nussdorfer Straße U,0.2213438735177865,48.231717,16.353124,41,40,81,56,28,28
125,Palffygasse,0.2924901185770751,48.217217,16.337131,60,90,150,74,34,40
126,Parhamerplatz,0.2490118577075098,48.216137,16.328093,67,76,143,63,35,28
127,Praterstern S U,0.8616600790513833,48.218454,16.390281,378,359,737,218,105,113
128,Rochusmarkt,0.3280632411067193,48.203416,16.389789,75,84,159,83,40,43
129,Rosensteingasse,0.2292490118577075,48.21955,16.326586,57,52,109,58,36,22
130,Schönbrunn U,0.2885375494071146,48.185845,16.319898,75,90,165,73,30,43
131,Sensengasse,0.3043478260869565,48.220335,16.35638,71,73,144,77,40,37
132,Spittelau S U,0.4861660079051383,48.235289,16.35875,147,147,294,123,60,63
133,Stadion U,0.3992094861660079,48.210893,16.420795,128,120,248,101,49,52
134,Vorgartenstraße U,0.616600790513834,48.223192,16.399795,226,200,426,156,77,79
135,Waldmüllerpark,0.150197628458498,48.18136,16.367618,23,26,49,38,19,19
136,Wallensteinplatz,0.4980237154150197,48.229911,16.371579,179,180,359,126,59,67
137,Westbahnhof S U / Felberstraße,0.3557312252964427,48.197958,16.3377,91,122,213,90,48,42
138,Auf der Schmelz,0.2964426877470355,48.203673,16.316414,79,62,141,75,44,31
139,Gymnasiumstraße,0.2727272727272727,48.236591,16.348719,67,66,133,69,39,30
140,Karmeliterplatz,0.4466403162055335,48.215683,16.379649,112,121,233,113,54,59
141,Längenfeldgasse U,0.3399209486166007,48.18424,16.333886,68,88,156,86,36,50
142,Modecenterstraße / The Marks,0.3280632411067193,48.184348,16.413837,104,91,195,83,38,45
143,Rossauer Lände U,0.4347826086956521,48.222729,16.367425,101,105,206,110,51,59
144,Schottenring U,0.4743083003952569,48.215972,16.372194,105,132,237,120,60,60
145,Währinger Straße U,0.3557312252964427,48.225482,16.349795,93,88,181,90,52,38
146,Friedrich-Engels-Platz,0.2569169960474308,48.244111,16.379304,75,96,171,65,29,36
147,Jägerstraße U,0.3162055335968379,48.235062,16.369919,106,107,213,80,38,42
148,Krieau U,0.2924901185770751,48.214384,16.414663,97,65,162,74,42,32
149,Neue Donau U,0.1936758893280632,48.246414,16.395676,105,79,184,49,23,26
150,Praterstern Ausstellungsstraße,0.6126482213438734,48.21785,16.395483,240,260,500,155,74,81
151,Rustengasse,0.2411067193675889,48.190832,16.326461,48,53,101,61,30,31
152,Schüttauplatz,0.2608695652173913,48.225856,16.423761,114,113,227,66,27,39
153,Alterlaa U,0.0790513833992094,48.150204,16.317214,14,23,37,20,10,10
154,Erlaaer Straße U,0.0237154150197628,48.142919,16.316576,5,5,10,6,3,3
155,Hietzing U,0.2411067193675889,48.187845,16.302445,48,55,103,61,31,30
156,Liesing S,0.0355731225296442,48.134253,16.283428,10,6,16,9,5,4
157,Purkytgasse ,0.0276679841897233,48.15011,16.33364,6,4,10,7,3,4
